```csv
"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","report_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude"
"Amateur","","","","","Brussels.","Brussels","Belgium","50.8503","4.3517"
"Titch","","","","","Koenigsberg (Nov. 7).","Kaliningrad","Russia","54.7104","20.4522"
"Pottervite","","","","","Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Super-Het","","","","","Bremen (relaying Hamburg).","Bremen","Germany","53.0793","8.8017"
"Phono","","","","","Malmoe (relaying Stockholm).","Malmö","Sweden","55.6050","13.0038"
"Carbon","","","","","Malmoe.","Malmö","Sweden","55.6050","13.0038"
"Lutheran","","","","","Malmoe.","Malmö","Sweden","55.6050","13.0038"
"Two-Valver","","","","","Nuremberg (relaying Munich).","Nuremberg","Germany","49.4521","11.0767"
"Worthing","","","","","Koenigsberg (Nov. 7), Koenigs Wusterhausen (Nov. 8) - opera ""Tiefland.""","Kaliningrad","Russia","54.7104","20.4522"
"Worthing","","","","","Koenigsberg (Nov. 7), Koenigs Wusterhausen (Nov. 8) - opera ""Tiefland.""","Königs Wusterhausen","Germany","52.3036","13.6333"
"Gridleak","","","","","Hamburg.","Hamburg","Germany","53.5511","9.9937"
"Eeceebee","","","","","Hilversum.","Hilversum","Netherlands","52.2292","5.1669"
"Twin-valve","","","","","Kbely 1150m. (German programme).","Kbely","Czech Republic","50.1333","14.5500"
"Mark O. Nee","","","","","Probably Oslo.","Oslo","Norway","59.9139","10.7522"
"G.F.L.","Bradford","","","","Yes; Hilversum relay of The Hague.","Hilversum","Netherlands","52.2292","5.1669"
"Puzzled","Stroud","","","","P.T.T. Paris.","Paris","France","48.8566","2.3522"
"N.D.P.","Smethwick","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Distant Radio","","","","","Koenigswusterhausen (either 4000m. or 2950m.).","Königs Wusterhausen","Germany","52.3036","13.6333"
"R.J.","Dunfermline","","","","San Sebastian (E.A.J.8).","San Sebastián","Spain","43.3183","-1.9812"
"Oojah","","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Tuned Anode","","","","","E.A.J.6 Madrid (R. Iberica).","Madrid","Spain","40.4168","-3.7038"
"Sabrina","","","","","New Hamburg station testing (call).","Hamburg","Germany","53.5511","9.9937"
"Gay Blondel","","","","","Cannot trace.","","","",""
"W.R.P.","Newport","","","","San Sebastian (E.A.J.8).","San Sebastián","Spain","43.3183","-1.9812"
"Ariel","Sheffield","","","","San Sebastian (E.A.J.8).","San Sebastián","Spain","43.3183","-1.9812"
"Upminster","","","","","Vienna.","Vienna","Austria","48.2082","16.3738"
"Information Seeker","","","","","Ryvang.","Copenhagen","Denmark","55.6761","12.5683"
"Verinano","","","","","Yes San Sebastian.","San Sebastián","Spain","43.3183","-1.9812"
"East Anglian","","","","","Copenhagen on 340m.","Copenhagen","Denmark","55.6761","12.5683"
"Puzzled","Worthing","","","","E.A.J.13, Barcelona (R. Catalana).","Barcelona","Spain","41.3851","2.1734"
"Query","","","","","E.A.J.7 Madrid (Union Radio).","Madrid","Spain","40.4168","-3.7038"
"Butter","Liverpool","","","","Elberfeld.","Wuppertal","Germany","51.2562","7.1508"
"Efen","Liverpool","","","","Koenigswusterhausen relaying opera ""Tiefland"" from Berlin.","Königs Wusterhausen","Germany","52.3036","13.6333"
"Ether","","","","","Hanover relaying Hamburg.","Hanover","Germany","52.3759","9.7320"
"Knob-Turner","","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Woodgrove","","","","","Yes; Nuremberg (ex Munich).","Nuremberg","Germany","49.4521","11.0767"
"Margate","","","","","Koenigswusterhausen relaying Berlin.","Königs Wusterhausen","Germany","52.3036","13.6333"
"Delatry","","","","","5GB, B.B.C., G.P.O. Chelmsford testing.","Chelmsford","United Kingdom","51.7356","0.4685"
"Harkaway","","","","","Muenster call sign.","Münster","Germany","51.9607","7.6261"
"Forceps","","","","","Are you sure time was a.m.?","","","",""
"Searcher","","","","","Koenigswusterhausen.","Königs Wusterhausen","Germany","52.3036","13.6333"
"R.J.H.","Wokingham","","","","B.B.C., G.P.O. Chelmsford.","Chelmsford","United Kingdom","51.7356","0.4685"
"Bennetts","","","","","(a) Petit Parisien 345m.; (b) about 458m.) not traceable; (c) An amateur.","Paris","France","48.8566","2.3522"
"Kitmacolm","","","","","Probably Malmoe 270m.","Malmö","Sweden","55.6050","13.0038"
"Coils","","","","","(a) Nov. 7, Marseille (P.T.T.) relaying Paris (P.T.T.); (b) Nov. 8, Petit Parisien, Cosmopolitan Radio Paris (P.T.T.), relayed by Lyon la Doua).","Marseille","France","43.2965","5.3698"
"Short-Waver","","","","","Please send name and address.","","","",""
"Three Valves","","","","","E.A.J.4 Madrid (R. Castilla).","Madrid","Spain","40.4168","-3.7038"
"Clovelly","","","","","Stockholm.","Stockholm","Sweden","59.3293","18.0686"
"Tony","","","","","Muenster.","Münster","Germany","51.9607","7.6261"
"Wavelength","","","","","Probably Stockholm.","Stockholm","Sweden","59.3293","18.0686"
"Distodyne","Manchester","","","","Malmoe relaying Stockholm.","Malmö","Sweden","55.6050","13.0038"
"Bonzo","","","","","Hamburg.","Hamburg","Germany","53.5511","9.9937"
"Electron","","","","","Bremen relaying Hamburg.","Bremen","Germany","53.0793","8.8017"
"Mush","","","","","Probably Oslo.","Oslo","Norway","59.9139","10.7522"
