"Radio-Fan","","","","","5BC British amateur (Herts).","","","","","Radio-Fan: 5BC British amateur (Herts)."
"Yan","","","","","cannot say, 6TY or 6GY?","","","","","Yan: cannot say, 6TY or 6GY?"
"J. F.","Coventry","","","","6NI amateur (Bootle).","","","","","J. F. (Coventry): 6NI amateur (Bootle)."
"R. A. I.","Colchester","","","","difficult to say, WHT (Chicago).","Chicago","USA","41.9","-87.6","R. A. I. (Colchester): difficult to say, WHT (Chicago)."
"R. A. I.","Colchester","","","","WJY (New York).","New York","USA","40.7","-74.0","R. A. I. (Colchester): WJY (New York), WGY (Schenectady)."
"R. A. I.","Colchester","","","","WGY (Schenectady).","Schenectady","USA","42.8","-73.9","R. A. I. (Colchester): WJY (New York), WGY (Schenectady)."
"Bonzo","","","","","WGY (Schenectady).","Schenectady","USA","42.8","-73.9","Bonzo: WGY (Schenectady)."
"Anxious","Birmingham","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Anxious (Birmingham): Madrid (EAJ7)."
"Not a Hope","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Not a Hope: Hamburg."
"Shadwell Twin","","","","","Stockholm.","Stockholm","Sweden","59.3","18.1","Shadwell Twin: Stockholm."
"Super Three","","","","","British amateur, cannot trace.","","","","","Super Three: British amateur, cannot trace."
"Ultradino","Spain","","","","Prague.","Prague","Czech Republic","50.1","14.4","Ultradino (Spain): Prague."
"Resistoflex.","","","","","cannot trace, Continental relay of Daventry.","","","","","Resistoflex.: cannot trace, Continental relay of Daventry."
"I. B. V.","Bristol","","","","Hamburg.","Hamburg","Germany","53.5","10.0","I. B. V. (Bristol): Hamburg."
"Canterburyian","","","","","Swedish relay of PTT (Paris).","Paris","France","48.9","2.4","Canterburyian: Swedish relay of PTT (Paris)."
"J. R. V.","Manor Park","","","","Lyons relay of FPTT (Paris).","Paris","France","48.9","2.4","J. R. V. (Manor Park): Lyons relay of FPTT (Paris)."
"Antrobus","","","","","Hamburg.","Hamburg","Germany","53.5","10.0","Antrobus: Hamburg."
"Red Dragon","","","","","cannot trace; 2BC?","","","","","Red Dragon: cannot trace; 2BC?"
"Squeak","","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","Squeak: Madrid (EAJ6)."
"Vier Valves","","","","","probably harmonic of 5XX.","","","","","Vier Valves: probably harmonic of 5XX."
"Rheostat.","","","","","too vague.","","","","","Rheostat.: too vague."
"Four Valve","Ashburton","","","","(1) Nuremberg.","Nuremberg","Germany","49.5","11.1","Four Valve (Ashburton): (1) Nuremberg, (2) Madrid (EAJ7)."
"Four Valve","Ashburton","","","","(2) Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Four Valve (Ashburton): (1) Nuremberg, (2) Madrid (EAJ7)."
"X. L.","","","","","presumably Leeds or Liverpool.","","","","","X. L.: presumably Leeds or Liverpool."
"Battery Bill","Leeds","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","Battery Bill (Leeds): Madrid (EAJ6)."
"Radsup","","","","","is W.L. correct? surely PTT (Paris).","Paris","France","48.9","2.4","Radsup: is W.L. correct? surely PTT (Paris)."
"Diamond","","","","","Hamburg Opera: The Dead Eyes.","Hamburg","Germany","53.5","10.0","Diamond: Hamburg Opera: The Dead Eyes."
"Sparks","Eastbourne","","","","no given, if p.m. Radio Paris.","Paris","France","48.9","2.4","Sparks (Eastbourne): no given, if p.m. Radio Paris."
"Kansas","Hampstead","","","","Berne.","Bern","Switzerland","46.9","7.4","Kansas (Hampstead): Berne."
"Gat","Leicester","","","","Berne (Boy Scouts).","Bern","Switzerland","46.9","7.4","Gat (Leicester): Berne (Boy Scouts)."
"Amplion","Rock Ferry","","","","Reciting; touchdown (fighting lesson).","","","","","Amplion (Rock Ferry): Reciting; touchdown (fighting lesson)."
"WAJ. B.","Bedford","","","","Time apparently wrong, but 6.55 a.m. would be Hanover.","Hanover","Germany","52.4","9.7","WAJ. B. (Bedford): Time apparently wrong, but 6.55 a.m. would be Hanover."
"J. C. M. L.","Ilkeston","","","","Rome.","Rome","Italy","41.9","12.5","J. C. M. L. (Ilkeston): Rome."
"Clearton","","","","","Radio Lyon.","Lyon","France","45.8","4.8","Clearton: Radio Lyon."
"North East","","","","","Surely amateur.","","","","","North East: Surely amateur."
"Find the Villain","Beaulieu, Hants","","","","Berne.","Bern","Switzerland","46.9","7.4","Find the Villain (Beaulieu, Hants): Berne."
